#source=UMOS,from=/netfasttmp4/ops/work/raqdps_20160817/20170101000000/RAQDPS/umos/umos_csv_prev/umos_csv_prev/input/UMOS_PREV_FINAL/p2sp3/2017010100_000,creation=04:41:5201/01/17,version=1.4.1,,,,
#,,,,,,,
date_orig,date_valid,code_stn,lat,lon,vertical,var,value
2017-01-0100:00:00,2017-01-0100:00:00,SJO,47570000,-52720000,6,48223,9
2017-01-0100:00:00,2017-01-0101:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0102:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0103:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0104:00:00,SJO,47570000,-52720000,6,48223,9
2017-01-0100:00:00,2017-01-0105:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0106:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0107:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0108:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0109:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0110:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0111:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0112:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0113:00:00,SJO,47570000,-52720000,6,48223,9
2017-01-0100:00:00,2017-01-0114:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0115:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0116:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0117:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0118:00:00,SJO,47570000,-52720000,6,48223,9
2017-01-0100:00:00,2017-01-0119:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0120:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0121:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0122:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0123:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0200:00:00,SJO,47570000,-52720000,6,48223,9
2017-01-0100:00:00,2017-01-0201:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0202:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0203:00:00,SJO,47570000,-52720000,6,48223,12
2017-01-0100:00:00,2017-01-0204:00:00,SJO,47570000,-52720000,6,48223,12
2017-01-0100:00:00,2017-01-0205:00:00,SJO,47570000,-52720000,6,48223,9
2017-01-0100:00:00,2017-01-0206:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0207:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0208:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0209:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0210:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0211:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0212:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0213:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0214:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0215:00:00,SJO,47570000,-52720000,6,48223,8
2017-01-0100:00:00,2017-01-0216:00:00,SJO,47570000,-52720000,6,48223,5
2017-01-0100:00:00,2017-01-0217:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0218:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0219:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0220:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0221:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0222:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0223:00:00,SJO,47570000,-52720000,6,48223,7
2017-01-0100:00:00,2017-01-0300:00:00,SJO,47570000,-52720000,6,48223,6
2017-01-0100:00:00,2017-01-0100:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0101:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0102:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0103:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0104:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0105:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0106:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0107:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0108:00:00,MTP,47500000,-52800000,135,48223,8
2017-01-0100:00:00,2017-01-0109:00:00,MTP,47500000,-52800000,135,48223,5
2017-01-0100:00:00,2017-01-0110:00:00,MTP,47500000,-52800000,135,48223,5
2017-01-0100:00:00,2017-01-0111:00:00,MTP,47500000,-52800000,135,48223,8
2017-01-0100:00:00,2017-01-0112:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0113:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0114:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0115:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0116:00:00,MTP,47500000,-52800000,135,48223,5
2017-01-0100:00:00,2017-01-0117:00:00,MTP,47500000,-52800000,135,48223,5
2017-01-0100:00:00,2017-01-0118:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0119:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0120:00:00,MTP,47500000,-52800000,135,48223,8
2017-01-0100:00:00,2017-01-0121:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0122:00:00,MTP,47500000,-52800000,135,48223,10
2017-01-0100:00:00,2017-01-0123:00:00,MTP,47500000,-52800000,135,48223,5
2017-01-0100:00:00,2017-01-0200:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0201:00:00,MTP,47500000,-52800000,135,48223,9
2017-01-0100:00:00,2017-01-0202:00:00,MTP,47500000,-52800000,135,48223,9
2017-01-0100:00:00,2017-01-0203:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0204:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0205:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0206:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0207:00:00,MTP,47500000,-52800000,135,48223,4
2017-01-0100:00:00,2017-01-0208:00:00,MTP,47500000,-52800000,135,48223,4
2017-01-0100:00:00,2017-01-0209:00:00,MTP,47500000,-52800000,135,48223,4
2017-01-0100:00:00,2017-01-0210:00:00,MTP,47500000,-52800000,135,48223,4
2017-01-0100:00:00,2017-01-0211:00:00,MTP,47500000,-52800000,135,48223,5
2017-01-0100:00:00,2017-01-0212:00:00,MTP,47500000,-52800000,135,48223,5
2017-01-0100:00:00,2017-01-0213:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0214:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0215:00:00,MTP,47500000,-52800000,135,48223,8
2017-01-0100:00:00,2017-01-0216:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0217:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0218:00:00,MTP,47500000,-52800000,135,48223,8
2017-01-0100:00:00,2017-01-0219:00:00,MTP,47500000,-52800000,135,48223,6
2017-01-0100:00:00,2017-01-0220:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0221:00:00,MTP,47500000,-52800000,135,48223,9
2017-01-0100:00:00,2017-01-0222:00:00,MTP,47500000,-52800000,135,48223,8
2017-01-0100:00:00,2017-01-0223:00:00,MTP,47500000,-52800000,135,48223,9
2017-01-0100:00:00,2017-01-0300:00:00,MTP,47500000,-52800000,135,48223,7
2017-01-0100:00:00,2017-01-0100:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0101:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0102:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0103:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0104:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0105:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0106:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0107:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0108:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0109:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0110:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0111:00:00,GFW,48930000,-55670000,62,48223,2
2017-01-0100:00:00,2017-01-0112:00:00,GFW,48930000,-55670000,62,48223,6
2017-01-0100:00:00,2017-01-0113:00:00,GFW,48930000,-55670000,62,48223,11
2017-01-0100:00:00,2017-01-0114:00:00,GFW,48930000,-55670000,62,48223,5
2017-01-0100:00:00,2017-01-0115:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0116:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0117:00:00,GFW,48930000,-55670000,62,48223,6
2017-01-0100:00:00,2017-01-0118:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0119:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0120:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0121:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0122:00:00,GFW,48930000,-55670000,62,48223,5
2017-01-0100:00:00,2017-01-0123:00:00,GFW,48930000,-55670000,62,48223,6
2017-01-0100:00:00,2017-01-0200:00:00,GFW,48930000,-55670000,62,48223,6
2017-01-0100:00:00,2017-01-0201:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0202:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0203:00:00,GFW,48930000,-55670000,62,48223,5
2017-01-0100:00:00,2017-01-0204:00:00,GFW,48930000,-55670000,62,48223,5
2017-01-0100:00:00,2017-01-0205:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0206:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0207:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0208:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0209:00:00,GFW,48930000,-55670000,62,48223,5
2017-01-0100:00:00,2017-01-0210:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0211:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0212:00:00,GFW,48930000,-55670000,62,48223,2
2017-01-0100:00:00,2017-01-0213:00:00,GFW,48930000,-55670000,62,48223,6
2017-01-0100:00:00,2017-01-0214:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0215:00:00,GFW,48930000,-55670000,62,48223,5
2017-01-0100:00:00,2017-01-0216:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0217:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0218:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0219:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0220:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0221:00:00,GFW,48930000,-55670000,62,48223,4
2017-01-0100:00:00,2017-01-0222:00:00,GFW,48930000,-55670000,62,48223,6
2017-01-0100:00:00,2017-01-0223:00:00,GFW,48930000,-55670000,62,48223,5
2017-01-0100:00:00,2017-01-0300:00:00,GFW,48930000,-55670000,62,48223,3
2017-01-0100:00:00,2017-01-0100:00:00,CBR,48950000,-57920000,99,48223,15
2017-01-0100:00:00,2017-01-0101:00:00,CBR,48950000,-57920000,99,48223,13
2017-01-0100:00:00,2017-01-0102:00:00,CBR,48950000,-57920000,99,48223,9
