Date,Time,Height,Value
20190505,12,76696048,9.156
20190505,13,76696048,15.995
20190505,14,76696048,26.588
20190505,15,76696048,35.713
20190505,16,76696048,45.046
20190505,17,76696048,51.319
20190505,18,76696048,52.873
20190505,19,76696048,50.007
20190505,20,76696048,46.479
20190505,21,76696048,44.350
20190505,22,76696048,42.075
20190505,23,76696048,36.223
20190506,0,76696048,23.810
20190506,1,76696048,13.022
20190506,2,76696048,10.633
20190506,3,76696048,12.437
20190506,4,76696048,6.769
20190506,5,76696048,7.022
20190506,6,76696048,9.190
20190506,7,76696048,8.794
20190506,8,76696048,9.194
20190506,9,76696048,8.414
20190506,10,76696048,7.476
20190506,11,76696048,8.225
