Date,Hour,Level,Value
20190504,0,1,13.281
20190504,1,1,16.069
20190504,2,1,16.123
20190504,3,1,16.887
20190504,4,1,14.020
20190504,5,1,12.181
20190504,6,1,9.817
20190504,7,1,9.998
20190504,8,1,10.010
20190504,9,1,10.828
20190504,10,1,11.749
20190504,11,1,13.327
20190504,12,1,13.600
20190504,13,1,10.578
20190504,14,1,7.277
20190504,15,1,5.564
20190504,16,1,4.069
20190504,17,1,3.714
20190504,18,1,3.850
20190504,19,1,4.125
20190504,20,1,4.298
20190504,21,1,4.202
20190504,22,1,4.995
20190504,23,1,5.681
20190505,0,1,7.451
20190505,1,1,10.871
20190505,2,1,13.623
20190505,3,1,12.864
20190505,4,1,16.544
20190505,5,1,17.501
20190505,6,1,15.174
20190505,7,1,13.537
20190505,8,1,14.072
20190505,9,1,12.999
20190505,10,1,13.747
20190505,11,1,14.458
20190505,12,1,12.350
20190505,13,1,8.994
20190505,14,1,6.620
20190505,15,1,5.587
20190505,16,1,4.610
20190505,17,1,3.161
20190505,18,1,2.556
20190505,19,1,2.501
20190505,20,1,2.406
20190505,21,1,2.806
20190505,22,1,2.826
20190505,23,1,3.529
