ST. JOHN'S,10102,SJO
CORNERBROOK,10301,CRB
CENTRAL NEWFOUNDLAND,10400,CNF
MOUNT PEARL,10401,MTP
GRAND FALLS - WINDSOR,10501,GFW
GOOSE BAY,10601,GBY
CORNER BROOK,10602,CBR
FERROLE POINT,10701,FPT
PORT AU CHOIX,10801,PCX
MARYSTOWN/BURIN,10901,MAB
LABRADOR CITY - SMOKEY MOUNTAI,11001,LBC
FIREHALL-LABRADORCITY2,11002,FRH
CHARLOTTETOWN 2,20104,CHL
WELLINGTON,20301,WLN
SOUTHAMPTON,20401,STH
DALTECH,30101,DLT
JOHNSTON BUILDING,30113,JNB
ROY BUILDING,30118,HLF
LAKE MAJOR,30120,LMA
PORT HAWKESBURY,30201,PHB
PORT HAWKESBURY PLAYGROUND,30202,PWP
WELTON STREET SYDNEY,30310,WST
WHITNEY PIER FIRE STATION,30311,SYD
KEJIMKUJIK NATIONAL PARK,30501,KEJ
KEJIMKUJIK SITE B,30502,KJM
AYLESFORD MOUNTAIN,30701,AYL
DAYTON,30801,DAY
PICTOU,30901,PCT
SABLE ISLAND,31001,SBI
KENTVILLE,31101,KNT
GRANTON,31201,GRT
ABERDEEN STREET,40103,FRD
FOREST HILLS,40203,FHL
REGIONAL CENTER,40205,RGC
CUSTOMS BUILDING,40206,CBL
WEST SIDE,40207,SJW
CHAMPLAIN HEIGHTS SCHOOL,40208,CMS
CASTLE STREET,40209,CAS
MONCTON,40302,MOC
BLISSVILLE - SUNBURY COUNTY,40601,BVL
NORTON - KINGS COUNTY,40701,NRT
CANTERBURY,40801,CNT
ST. ANDREWS,40901,SAN
CAMPOBELLO ISLAND,41001,CBI
ST. LEONARD,41101,SLD
LOWER NEWCASTLE,41201,LNC
BATHURST,41302,BAT
JARDIN BOTANIQUE,50102,BOT
SAINT-JEAN-BABTISTE,50103,SJB
ONTARIO,50104,OTR
DUNCAN & DECARIE,50109,DUN
PARC-PILON,50110,PIL
CHOMEDEY,50113,CHM
BOURASSA,50119,BSS
PARC SORBONNE,50122,SRB
ANJOU,50124,ANJ
CENTRE RECR. EDOUARD RIVEST,50125,CER
SAINTE-ANNE DE BELLEVUE,50126,SAB
SAINT-MICHEL,50127,SMI
AEROPORT DE MONTREAL 1,50128,AM1
RIVIERES-DES-PRAIRIES,50129,RDP
HOCHELAGA-MAISONNEUVE,50131,HCH
AEROPORT DE MONTREAL 3,50132,AM3
CHENIER,50133,CHN
MOLSON,50134,MOL
CASERNE 17,50135,A17
ST-DOMINIQUE,50136,SSD
PARC VAILLANT,50137,VLL
YORK-ROBERVAL,50138,ROV
HULL (ILE),50204,HLL
DES SABLES,50308,SBL
SAINT-CHARLES GARNIER,50310,SCG
PARC PRIMEVERES,50311,PPM
PARC WEBSTER,50403,PWB
PARC CAMBRON,50404,PCA
UNIVERSITE CHICOUTIMI,50504,UCH
ECOLE MURDOCH,50603,EMU
PARC TREMBLAY,50604,PTR
TROIS-RIVIERES-MEES,50803,3RM
PARC BERTHIER,50902,PBE
FRIGON,51201,FGN
ZEPHIRIN,51501,ZPH
ECOLE MARTEL 2,51801,EM2
GEORGE,51802,GEO
ROUTE 385 (FORESTVILLE),51901,FRS
CHARETTE,52001,CHA
SAINT-SIMON,52201,SSI
SAINT-FAUSTIN,52301,SFN
LA PECHE,52401,PEC
VARENNES 1,52601,VR1
VARENNES 2,52602,VR2
TEMISCAMING,52701,TMS
AUCLAIR,52801,ACL
PEMONCA,53201,PEM
