Date_Orig,Date_Valid,Code_Stn(ID),Lat,Lon,Vertical,Var,Value
2016-09-0812:00:00,2016-09-0812:00:00,90121,53550000,-113370000,673,048224,18.60
2016-09-0812:00:00,2016-09-0813:00:00,90121,53550000,-113370000,673,048224,18.30
2016-09-0812:00:00,2016-09-0814:00:00,90121,53550000,-113370000,673,048224,16.55
2016-09-0812:00:00,2016-09-0815:00:00,90121,53550000,-113370000,673,048224,14.94
2016-09-0812:00:00,2016-09-0816:00:00,90121,53550000,-113370000,673,048224,17.31
2016-09-0812:00:00,2016-09-0817:00:00,90121,53550000,-113370000,673,048224,13.01
2016-09-0812:00:00,2016-09-0818:00:00,90121,53550000,-113370000,673,048224,8.98
2016-09-0812:00:00,2016-09-0819:00:00,90121,53550000,-113370000,673,048224,7.94
2016-09-0812:00:00,2016-09-0820:00:00,90121,53550000,-113370000,673,048224,6.71
2016-09-0812:00:00,2016-09-0821:00:00,90121,53550000,-113370000,673,048224,6.80
2016-09-0812:00:00,2016-09-0822:00:00,90121,53550000,-113370000,673,048224,6.82
2016-09-0812:00:00,2016-09-0823:00:00,90121,53550000,-113370000,673,048224,6.44
2016-09-0812:00:00,2016-09-0900:00:00,90121,53550000,-113370000,673,048224,6.49
2016-09-0812:00:00,2016-09-0901:00:00,90121,53550000,-113370000,673,048224,6.41
2016-09-0812:00:00,2016-09-0902:00:00,90121,53550000,-113370000,673,048224,6.43
2016-09-0812:00:00,2016-09-0903:00:00,90121,53550000,-113370000,673,048224,5.51
2016-09-0812:00:00,2016-09-0904:00:00,90121,53550000,-113370000,673,048224,8.39
2016-09-0812:00:00,2016-09-0905:00:00,90121,53550000,-113370000,673,048224,9.40
2016-09-0812:00:00,2016-09-0906:00:00,90121,53550000,-113370000,673,048224,8.53
2016-09-0812:00:00,2016-09-0907:00:00,90121,53550000,-113370000,673,048224,6.70
2016-09-0812:00:00,2016-09-0908:00:00,90121,53550000,-113370000,673,048224,5.68
2016-09-0812:00:00,2016-09-0909:00:00,90121,53550000,-113370000,673,048224,9.89
2016-09-0812:00:00,2016-09-0910:00:00,90121,53550000,-113370000,673,048224,6.17
2016-09-0812:00:00,2016-09-0911:00:00,90121,53550000,-113370000,673,048224,8.41
2016-09-0812:00:00,2016-09-0912:00:00,90121,53550000,-113370000,673,048224,9.56
2016-09-0812:00:00,2016-09-0913:00:00,90121,53550000,-113370000,673,048224,12.42
2016-09-0812:00:00,2016-09-0914:00:00,90121,53550000,-113370000,673,048224,10.76
2016-09-0812:00:00,2016-09-0915:00:00,90121,53550000,-113370000,673,048224,11.66
2016-09-0812:00:00,2016-09-0916:00:00,90121,53550000,-113370000,673,048224,11.02
2016-09-0812:00:00,2016-09-0917:00:00,90121,53550000,-113370000,673,048224,7.97
2016-09-0812:00:00,2016-09-0918:00:00,90121,53550000,-113370000,673,048224,6.69
2016-09-0812:00:00,2016-09-0919:00:00,90121,53550000,-113370000,673,048224,6.74
2016-09-0812:00:00,2016-09-0920:00:00,90121,53550000,-113370000,673,048224,6.06
2016-09-0812:00:00,2016-09-0921:00:00,90121,53550000,-113370000,673,048224,5.40
2016-09-0812:00:00,2016-09-0922:00:00,90121,53550000,-113370000,673,048224,5.32
2016-09-0812:00:00,2016-09-0923:00:00,90121,53550000,-113370000,673,048224,7.27
2016-09-0812:00:00,2016-09-1000:00:00,90121,53550000,-113370000,673,048224,7.48
2016-09-0812:00:00,2016-09-1001:00:00,90121,53550000,-113370000,673,048224,6.31
2016-09-0812:00:00,2016-09-1002:00:00,90121,53550000,-113370000,673,048224,11.89
2016-09-0812:00:00,2016-09-1003:00:00,90121,53550000,-113370000,673,048224,11.72
2016-09-0812:00:00,2016-09-1004:00:00,90121,53550000,-113370000,673,048224,10.62
2016-09-0812:00:00,2016-09-1005:00:00,90121,53550000,-113370000,673,048224,12.02
2016-09-0812:00:00,2016-09-1006:00:00,90121,53550000,-113370000,673,048224,12.38
2016-09-0812:00:00,2016-09-1007:00:00,90121,53550000,-113370000,673,048224,12.20
2016-09-0812:00:00,2016-09-1008:00:00,90121,53550000,-113370000,673,048224,10.79
2016-09-0812:00:00,2016-09-1009:00:00,90121,53550000,-113370000,673,048224,11.75
2016-09-0812:00:00,2016-09-1010:00:00,90121,53550000,-113370000,673,048224,12.02
2016-09-0812:00:00,2016-09-1011:00:00,90121,53550000,-113370000,673,048224,12.19
2016-09-0812:00:00,2016-09-1012:00:00,90121,53550000,-113370000,673,048224,15.14
