id    ,name_en_CA                           ,name_fr_CA                           ,lat             ,lon              ,region,timeZone,compositeStation,stationType,province,city                    ,address                                            ,altitude,environment,aqhiAlgorithm,calculateHistory,forecastCentre,grouping,sortOrder
10102 ,St. John's                           ,St. John's                           ,47.56           ,-52.7113888888889,1     ,2       ,                ,1          ,1       ,St. John's              ,354 WATER STREET                                   ,14.0    ,1          ,1            ,1               ,1             ,        ,1
10401 ,Mount Pearl                          ,Mount Pearl                          ,47.5051277777778,-52.7947611111111,1     ,2       ,                ,1          ,1       ,Mount Pearl             ,OLD PLACENTIA ROAD                                 ,155.2   ,2          ,1            ,1               ,1             ,        ,2
10501 ,Grand Falls - Windsor                ,Grand Falls - Windsor                ,48.9269444444444,-55.6597222222222,1     ,2       ,                ,1          ,1       ,Grand Falls - Windsor   ,SCOTT AVENUE                                       ,60.0    ,1          ,1            ,1               ,1             ,        ,4
10601 ,Goose Bay                            ,Goose Bay                            ,53.30472        ,-60.36444        ,1     ,2       ,                ,1          ,1       ,Happy Valley - Goose Bay,Abbott Drive                                       ,43.0    ,2          ,             ,0               ,1             ,        ,7
10602 ,Corner Brook                         ,Corner Brook                         ,48.95224        ,-57.92207        ,1     ,2       ,                ,1          ,1       ,Corner Brook            ,Macpherson Avenue                                  ,99.0    ,2          ,1            ,1               ,1             ,        ,5
10801 ,Port au Choix                        ,Port au Choix                        ,50.71124        ,-57.36365        ,1     ,2       ,                ,1          ,1       ,Port au Choix           ,Port au Choix                                      ,13.0    ,5          ,             ,0               ,1             ,        ,6
10901 ,Marystown/Burin                      ,Marystown/Burin                      ,47.09899        ,-55.19852        ,1     ,2       ,                ,1          ,1       ,Burin                   ,                                                   ,1.0     ,5          ,1            ,1               ,1             ,        ,3
11002 ,FIREHALL-LABRADORCITY2               ,FIREHALL-LABRADORCITY2               ,52.945487       ,-66.910306       ,1     ,3       ,                ,1          ,1       ,Labrador City           ,317 Hudson Drive                                   ,558.0   ,2          ,1            ,1               ,1             ,        ,8
20104 ,Charlottetown                        ,Charlottetown                        ,46.233          ,-63.13667        ,1     ,3       ,                ,1          ,2       ,Charlottetown           ,3 BRIGHTON ROAD                                    ,58.87   ,1          ,1            ,1               ,2             ,        ,10
20301 ,Wellington                           ,Wellington                           ,46.45           ,-64.0            ,1     ,3       ,                ,1          ,2       ,Wellington              ,40 HACKMATACK RD. (ROUTE 125)                      ,35.04   ,4          ,1            ,1               ,2             ,        ,9
20401 ,Southampton                          ,Southampton                          ,46.38752        ,-62.58122        ,1     ,3       ,                ,1          ,2       ,Southampton             ,2580 CARDIGAN ROAD (ROUTE 313)                     ,        ,4          ,1            ,1               ,2             ,        ,11
30001 ,Halifax Downtown                     ,Halifax - centre-ville               ,44.647          ,-63.574          ,1     ,3       ,                ,1          ,3       ,Halifax                 ,1672 GRANVILLE STREET                              ,29.0    ,1          ,1            ,1               ,2             ,        ,17
30113 ,Johnston Building                    ,Johnston Building                    ,44.647          ,-63.574          ,1     ,3       ,30001           ,1          ,3       ,Halifax                 ,1672 GRANVILLE STREET                              ,29.0    ,1          ,             ,0               ,2             ,        ,19
30120 ,Lake Major                           ,Lake Major                           ,44.71969        ,-63.48162        ,1     ,3       ,                ,1          ,3       ,Dartmouth               ,Cherrybrook Road                                   ,69.0    ,2          ,1            ,1               ,2             ,        ,20
30201 ,Port Hawkesbury                      ,Port Hawkesbury                      ,45.61394        ,-61.36235        ,1     ,3       ,                ,1          ,3       ,Port Hawkesbury         ,Embree & Granville                                 ,23.0    ,1          ,1            ,1               ,2             ,        ,22
30310 ,Sydney (Welton Street)               ,Sydney (Welton Street)               ,46.14222        ,-60.17252        ,1     ,3       ,                ,1          ,3       ,Sydney                  ,71 Welton Street                                   ,30.0    ,1          ,1            ,1               ,2             ,        ,23
30502 ,Kejimkujik Site B                    ,Kejimkujik Site B                    ,44.40298        ,-65.20277        ,1     ,3       ,                ,1          ,3       ,                        ,                                                   ,128.0   ,5          ,             ,0               ,2             ,        ,14
30701 ,Aylesford Mountain                   ,Aylesford Mountain                   ,45.07267        ,-64.84033        ,1     ,3       ,                ,1          ,3       ,Aylesford               ,"MOUNTAIN BROW ROAD, KINGS COUNTY"                 ,264.0   ,6          ,             ,0               ,2             ,        ,15
30901 ,Pictou                               ,Pictou                               ,45.68167        ,-62.69664        ,1     ,3       ,                ,1          ,3       ,Pictou                  ,91 BEACHES ROAD                                    ,32.0    ,2          ,1            ,1               ,2             ,        ,21
31101 ,Kentville                            ,Kentville                            ,45.0666666666667,-64.4833333333333,1     ,3       ,                ,1          ,3       ,Kentville               ,32 MAIN STREET                                     ,51.5    ,4          ,1            ,1               ,2             ,        ,16
40104 ,Fredericton Needham                  ,Fredericton Needham                  ,45.957344       ,-66.645562       ,1     ,3       ,                ,1          ,4       ,Fredericton             ,486 Needham Street                                 ,25.0    ,2          ,1            ,1               ,2             ,        ,32
40203 ,Forest Hills                         ,Forest Hills                         ,45.30888        ,-66.00833        ,1     ,3       ,                ,1          ,4       ,Saint John              ,MOUNTAIN ROAD                                      ,153.0   ,2          ,1            ,1               ,2             ,        ,28
40207 ,West Side                            ,West Side                            ,45.25277        ,-66.08003        ,1     ,3       ,                ,1          ,4       ,Saint John              ,476 LANCASTER AVENUE W.                            ,54.0    ,2          ,1            ,1               ,2             ,        ,26
40209 ,Castle Street                        ,Castle Street                        ,45.2802777777778,-66.0561111111111,1     ,3       ,                ,1          ,4       ,Saint John              ,                                                   ,        ,1          ,1            ,1               ,2             ,        ,27
40302 ,Moncton                              ,Moncton                              ,46.10138        ,-64.78964        ,1     ,3       ,                ,1          ,4       ,Moncton                 ,5 THANET STREET                                    ,29.0    ,2          ,1            ,1               ,2             ,        ,31
40901 ,St. Andrews                          ,St. Andrews                          ,45.086912       ,-67.074036       ,1     ,3       ,                ,1          ,4       ,St. Andrews             ,BRANDY COVE ROAD                                   ,57.0    ,6          ,             ,0               ,2             ,        ,24
41302 ,Bathurst                             ,Bathurst                             ,47.6095277777778,-65.6335277777778,1     ,3       ,                ,1          ,4       ,Bathurst                ,1255 Rough Waters Drive                            ,54.0    ,           ,1            ,0               ,2             ,        ,35
41501 ,Edmundston Queen St.                 ,Edmundston rue Queen                 ,47.363195       ,-68.322302       ,1     ,3       ,                ,1          ,4       ,Edmundston              ,19 Queen St.                                       ,159.0   ,2          ,1            ,1               ,2             ,        ,33
49998 ,Campbellton                          ,Campbellton                          ,47.999336       ,-66.683511       ,1     ,3       ,                ,2          ,4       ,Campbellton             ,Campbellton                                        ,        ,           ,             ,0               ,2             ,        ,
50103 ,Saint-Jean-Baptiste                  ,Saint-Jean-Baptiste                  ,45.6408333333333,-73.4997222222222,2     ,4       ,                ,1          ,5       ,Montréal                ,"1050 A, BOUL. SAINT-JEAN-BAPTISTE"                ,        ,2          ,1            ,1               ,3             ,3       ,7
50109 ,Duncan & Décarie                     ,Duncan & Décarie                     ,45.5025         ,-73.66389        ,2     ,4       ,                ,1          ,5       ,Montréal                ,"2495 Duncan / Décarie, Mont-Royal"                ,        ,1          ,1            ,1               ,3             ,3       ,3
