Station ID  English Name  Nom en français   Latitude    Longitude        
----------  ------------  ----------------  ----------  -----------------
10102       St. John's    St. John's        47.56       -52.7113888888889
10401       Mount Pearl   Mount Pearl       47.5051277  -52.7947611111111
10501       Grand Falls   Grand Falls - Wi  48.9269444  -55.6597222222222
10601       Goose Bay     Goose Bay         53.30472    -60.36444        
10602       Corner Brook  Corner Brook      48.95224    -57.92207        
10801       Port au Choi  Port au Choix     50.71124    -57.36365        
10901       Marystown/Bu  Marystown/Burin   47.09899    -55.19852        
11002       FIREHALL-LAB  FIREHALL-LABRADO  52.945487   -66.910306       
20104       Charlottetow  Charlottetown     46.233      -63.13667        
20301       Wellington    Wellington        46.45       -64.0            
20401       Southampton   Southampton       46.38752    -62.58122        
30001       Halifax Down  Halifax - centre  44.647      -63.574          
30113       Johnston Bui  Johnston Buildin  44.647      -63.574          
30120       Lake Major    Lake Major        44.71969    -63.48162        
30201       Port Hawkesb  Port Hawkesbury   45.61394    -61.36235        
30310       Sydney (Welt  Sydney (Welton S  46.14222    -60.17252        
30502       Kejimkujik S  Kejimkujik Site   44.40298    -65.20277        
30701       Aylesford Mo  Aylesford Mounta  45.07267    -64.84033        
30901       Pictou        Pictou            45.68167    -62.69664        
31101       Kentville     Kentville         45.0666666  -64.4833333333333
40104       Fredericton   Fredericton Need  45.957344   -66.645562       
40203       Forest Hills  Forest Hills      45.30888    -66.00833        
40207       West Side     West Side         45.25277    -66.08003        
40209       Castle Stree  Castle Street     45.2802777  -66.0561111111111
40302       Moncton       Moncton           46.10138    -64.78964        
40901       St. Andrews   St. Andrews       45.086912   -67.074036       
41302       Bathurst      Bathurst          47.6095277  -65.6335277777778
41501       Edmundston Q  Edmundston rue Q  47.363195   -68.322302       
49998       Campbellton   Campbellton       47.999336   -66.683511       
50103       Saint-Jean-B  Saint-Jean-Bapti  45.6408333  -73.4997222222222
50109       Duncan & Dé   Duncan & Décari   45.5025     -73.66389        
50113       Chomedey      Chomedey          45.5475     -73.74694        
50119       Bourassa      Bourassa          45.5216666  -73.4875         
50122       Parc Sorbonn  Parc Sorbonne     45.448663   -73.480819       
50126       Sainte-Anne-  Sainte-Anne-de-B  45.4266666  -73.9291666666667
50128       Aéroport d    Aéroport de Mon   45.4680555  -73.7411111111111
50129       Rivière-des   Rivière-des-Pra   45.6517833  -73.5738         
50131       Hochelaga-Ma  Hochelaga-Maison  45.53987    -73.54074        
50133       Chenier       Chenier           45.60185    -73.54197        
50134       Saint-Joseph  Saint-Joseph (Mo  45.54271    -73.57176        
50135       Firehouse 17  Caserne 17        45.593325   -73.637328       
50136       St-Dominique  St-Dominique      45.5122194  -73.5669222222   
50137       Parc Vaillan  Parc Vaillant     45.704754   -73.657777       
50138       York-Roberva  York-Roberval     45.4645583  -73.58275        
50204       Hull (Île)    Hull (Île)        45.4369444  -75.7261111111111
50308       Des Sables    Des Sables        46.8211111  -71.22083        
50310       Saint-Charle  Saint-Charles Ga  46.7969444  -71.2461111111111
50311       Parc Primev   Parc Primevères   46.7741666  -71.36972222     
50404       Parc Cambron  Parc Cambron      45.4125     -71.874444       
50504       Université    Université Chic   48.41639    -71.0525         
50604       Parc Trembla  Parc Tremblay     48.23444    -78.98333        
50803       TROIS-RIVIER  TROIS-RIVIERES-M  46.357175   -72.546187       
51201       Frigon        Frigon            46.5544444  -72.73556        
51501       Zéphirin      Zéphirin          46.0425     -72.66           
52001       Charette      Charette          46.44111    -72.8927777777778
52201       Saint-Simon   Saint-Simon       45.71583    -72.84028        
52301       Saint Fausti  Saint Faustin     46.035      -74.480833       
52401       La Pêche      La Pêche          45.6222222  -76.0177777777778
52701       Temiscaming   Temiscaming       46.7213889  -79.0997222      
52801       Auclair       Auclair           47.73333    -68.70722        
53201       Pémonca       Pémonca           48.80972    -72.73889        
53301       Deschambault  Deschambault-Ram  46.6822222  -71.9677777777778
53501       François      François          47.0147222  -70.8644444444444
53601       Notre-Dame d  Notre-Dame du Ro  46.8508333  -70.4527777777778
53701       Hilaire       Hilaire           45.82472    -70.85583        
53801       Tingwick      Tingwick          45.9075     -71.9491666666667
53901       Édouard       Édouard           47.6472222  -72.29056        
54102       Mont Sutton/  Mont Sutton/Roun  45.0886111  -72.5569444444444
54201       Chapais       Chapais           49.82222    -74.97639        
54401       Saint-Anicet  Saint-Anicet      45.1166666  -74.2833333333333
54703       Bécancour     Bécancour         46.35       -72.4333333333333
54901       Ditton        Ditton            45.37389    -71.25           
55001       Mont Saint-M  Mont Saint-Miche  46.7686111  -75.4319444444444
55101       Bell          Bell              48.4325     -77.19972        
55301       L'Acadie      L'Acadie          45.294166   -73.34888        
55401       Roy           Roy               46.36246    -72.510093       
55501       Frelighsburg  Frelighsburg      45.05166    -72.86166        
