id    ,name_en_CA                           ,name_fr_CA                           ,lat   ,lon     ,province,city                    ,address
10102 ,St. John's                           ,St. John's                           ,47.560,-52.711 ,1       ,St. John's              ,354 WATER STREET
10401 ,Mount Pearl                          ,Mount Pearl                          ,47.505,-52.795 ,1       ,Mount Pearl             ,OLD PLACENTIA ROAD
10501 ,Grand Falls - Windsor                ,Grand Falls - Windsor                ,48.927,-55.660 ,1       ,Grand Falls - Windsor   ,SCOTT AVENUE
10601 ,Goose Bay                            ,Goose Bay                            ,53.305,-60.364 ,1       ,Happy Valley - Goose Bay,Abbott Drive
10602 ,Corner Brook                         ,Corner Brook                         ,48.952,-57.922 ,1       ,Corner Brook            ,Macpherson Avenue
10801 ,Port au Choix                        ,Port au Choix                        ,50.711,-57.364 ,1       ,Port au Choix           ,Port au Choix
10901 ,Marystown/Burin                      ,Marystown/Burin                      ,47.099,-55.199 ,1       ,Burin                   ,
11002 ,FIREHALL-LABRADORCITY2               ,FIREHALL-LABRADORCITY2               ,52.945,-66.910 ,1       ,Labrador City           ,317 Hudson Drive
20104 ,Charlottetown                        ,Charlottetown                        ,46.233,-63.137 ,2       ,Charlottetown           ,3 BRIGHTON ROAD
20301 ,Wellington                           ,Wellington                           ,46.450,-64.000 ,2       ,Wellington              ,40 HACKMATACK RD. (ROUTE 125)
20401 ,Southampton                          ,Southampton                          ,46.388,-62.581 ,2       ,Southampton             ,2580 CARDIGAN ROAD (ROUTE 313)
30001 ,Halifax Downtown                     ,Halifax - centre-ville               ,44.647,-63.574 ,3       ,Halifax                 ,1672 GRANVILLE STREET
30113 ,Johnston Building                    ,Johnston Building                    ,44.647,-63.574 ,3       ,Halifax                 ,1672 GRANVILLE STREET
30120 ,Lake Major                           ,Lake Major                           ,44.720,-63.482 ,3       ,Dartmouth               ,Cherrybrook Road
30201 ,Port Hawkesbury                      ,Port Hawkesbury                      ,45.614,-61.362 ,3       ,Port Hawkesbury         ,Embree & Granville
30310 ,Sydney (Welton Street)               ,Sydney (Welton Street)               ,46.142,-60.173 ,3       ,Sydney                  ,71 Welton Street
30502 ,Kejimkujik Site B                    ,Kejimkujik Site B                    ,44.403,-65.203 ,3       ,                        ,
30701 ,Aylesford Mountain                   ,Aylesford Mountain                   ,45.073,-64.840 ,3       ,Aylesford               ,"MOUNTAIN BROW ROAD, KINGS COUNTY"
30901 ,Pictou                               ,Pictou                               ,45.682,-62.697 ,3       ,Pictou                  ,91 BEACHES ROAD
31101 ,Kentville                            ,Kentville                            ,45.067,-64.483 ,3       ,Kentville               ,32 MAIN STREET
40104 ,Fredericton Needham                  ,Fredericton Needham                  ,45.957,-66.646 ,4       ,Fredericton             ,486 Needham Street
40203 ,Forest Hills                         ,Forest Hills                         ,45.309,-66.008 ,4       ,Saint John              ,MOUNTAIN ROAD
40207 ,West Side                            ,West Side                            ,45.253,-66.080 ,4       ,Saint John              ,476 LANCASTER AVENUE W.
40209 ,Castle Street                        ,Castle Street                        ,45.280,-66.056 ,4       ,Saint John              ,
40302 ,Moncton                              ,Moncton                              ,46.101,-64.790 ,4       ,Moncton                 ,5 THANET STREET
40901 ,St. Andrews                          ,St. Andrews                          ,45.087,-67.074 ,4       ,St. Andrews             ,BRANDY COVE ROAD
41302 ,Bathurst                             ,Bathurst                             ,47.610,-65.634 ,4       ,Bathurst                ,1255 Rough Waters Drive
41501 ,Edmundston Queen St.                 ,Edmundston rue Queen                 ,47.363,-68.322 ,4       ,Edmundston              ,19 Queen St.
49998 ,Campbellton                          ,Campbellton                          ,47.999,-66.684 ,4       ,Campbellton             ,Campbellton
50103 ,Saint-Jean-Baptiste                  ,Saint-Jean-Baptiste                  ,45.641,-73.500 ,5       ,Montreal                ,"1050 A, BOUL. SAINT-JEAN-BAPTISTE"
50109 ,Duncan & Decarie                     ,Duncan & Decarie                     ,45.503,-73.664 ,5       ,Montreal                ,"2495 Duncan / Decarie, Mont-Royal"
50113 ,Chomedey                             ,Chomedey                             ,45.548,-73.747 ,5       ,Laval                   ,1160 BOUL PIE IX
50119 ,Bourassa                             ,Bourassa                             ,45.522,-73.488 ,5       ,Longueuil               ,FACE AU 1819 RUE VICTORIA
50122 ,Parc Sorbonne                        ,Parc Sorbonne                        ,45.449,-73.481 ,5       ,Brossard                ,8405 avenue Sorbonne
50126 ,Sainte-Anne-de-Bellevue              ,Sainte-Anne-de-Bellevue              ,45.427,-73.929 ,5       ,Montreal                ,"20965 CH. SAINTE-MARIE, STE-ANNEdB"
50128 ,Aeroport de Montreal                 ,Aeroport de Montreal                 ,45.468,-73.741 ,5       ,Montreal                ,"90-A rue Herv-Saint-Martin, Dorval"
50129 ,Riviere-des-Prairies                 ,Riviere-des-Prairies                 ,45.652,-73.574 ,5       ,Montreal                ,12400 WILFRID-OUELLETTE
50131 ,Hochelaga-Maisonneuve                ,Hochelaga-Maisonneuve                ,45.540,-73.541 ,5       ,Montreal                ,3250 STE-CATHERINE EST
50133 ,Chenier                              ,Chenier                              ,45.602,-73.542 ,5       ,Anjou                   ,8200A Rue Chenier
50134 ,Saint-Joseph (Molson)                ,Saint-Joseph (Molson)                ,45.543,-73.572 ,5       ,Montreal                ,2580 St-Joseph Est
50135 ,Firehouse 17                         ,Caserne 17                           ,45.593,-73.637 ,5       ,Montreal                ,4240 rue Charleroi
50136 ,St-Dominique                         ,St-Dominique                         ,45.512,-73.567 ,5       ,Montreal                ,75 rue Ontario Est
50137 ,Parc Vaillant                        ,Parc Vaillant                        ,45.705,-73.658 ,5       ,Terrebonne              ,905 rue Vaillant
50138 ,York-Roberval                        ,York-Roberval                        ,45.465,-73.583 ,5       ,Montreal                ,1540 rue de Roberval
50204 ,Hull (ile)                           ,Hull (ile)                           ,45.437,-75.726 ,5       ,Gatineau                ,"255 St-Redempteur, Hull"
50308 ,Des Sables                           ,Des Sables                           ,46.821,-71.221 ,5       ,Quebec                  ,600 RUE DES SABLES
50310 ,Saint-Charles Garnier                ,Saint-Charles Garnier                ,46.797,-71.246 ,5       ,Quebec                  ,1150 Boul. Rene-Levesque O.
50311 ,Parc Primevres                       ,Parc Primevres                       ,46.774,-71.370 ,5       ,Quebec                  ,1465 Rue Flix-Antione-Savard
50404 ,Parc Cambron                         ,Parc Cambron                         ,45.413,-71.874 ,5       ,Sherbrooke              ,"655, RUE PAPINEAU"
50504 ,University Chicoutimi                ,Universit Chicoutimi                 ,48.416,-71.053 ,5       ,Saguenay                ,"789 Coul. Des tudiants, Chicoutimi"
50604 ,Parc Tremblay                        ,Parc Tremblay                        ,48.234,-78.983 ,5       ,Rouyin-Noranda          ,1570 RUE PARADIS
